X,Y,OBJECTID,GMID,Dataset,Facility_Name,Address,數據集,設施名稱,地址,District,地區,Library_Type,圖書館種類,Opening_Hours,開放時間,Telephone,聯絡電話,Fax_Number,傳真號碼,Email_Address,電郵地址,Website,網頁,Latitude,Longitude,Building_CSUID,Northing,Easting
114.0608,22.3505,21,TWNflejiSR,Libraries,Ma Wan(Mobile Library 1),"Adjacent to Block 15, Park Island, Ma Wan, Tsuen Wan, N.T.",圖書館,馬灣(流動圖書館一),新界荃灣馬灣珀麗灣第十五座側,TSUEN WAN,荃灣,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,https://www.hkpl.gov.hk/en/locations/tsuen-wan/mobile1/adjacent-to-block-15-park-island.html,https://www.hkpl.gov.hk/tc/locations/tsuen-wan/mobile1/adjacent-to-block-15-park-island.html,22.3505,114.0608,,823492,824312
114.25445,22.30641,22,4fwFKERuO9,Libraries,Tiu Keng Leng Public Library,"4 Chui Ling Road, Tseung Kwan O, N.T.",圖書館,調景嶺公共圖書館,新界將軍澳翠嶺路四號,SAI KUNG,西貢,STATIC LIBRARY,固定圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/sai-kung/library/tiu-keng-leng.html,http://www.hkpl.gov.hk/tc/locations/sai-kung/library/tiu-keng-leng.html,22.30641,114.25445,4426118608T20140530,818608,844261
113.98389,22.41318,23,w7BABnUzzB,Libraries,Fu Tai Estate(Mobile Library 3),"Adjacent to Annex Block of Mei Tai House, Fu Tai Estate, Tuen Mun, N.T.",圖書館,富泰邨(流動圖書館三),新界屯門富泰邨美泰樓附翼側,TUEN MUN,屯門,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/tuen-mun/mobile3/adjacent-to-annex-block-mei.html,http://www.hkpl.gov.hk/tc/locations/tuen-mun/mobile3/adjacent-to-annex-block-mei.html,22.41318,113.98389,,830441,816398
113.96221,22.40521,24,WBaq7tSblB,Libraries,Leung King Estate(Mobile Library 3),"Adjacent to Leung Chi House, Leung King Estate, Tuen Mun, N.T.",圖書館,良景邨(流動圖書館三),新界屯門良景邨良智樓側,TUEN MUN,屯門,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/tuen-mun/mobile3/leung-chi-house-leung-king.html,http://www.hkpl.gov.hk/tc/locations/tuen-mun/mobile3/leung-chi-house-leung-king.html,22.40521,113.96221,,829562,814165
114.13155,22.37892,25,26OgrOOGrB,Libraries,Cheung Shan Estate(Mobile Library 12),"Adjacent to Sau Shan House, Cheung Shan Estate, Tsuen Wan, N.T.",圖書館,象山邨(流動圖書館十二),新界荃灣象山邨秀山樓側,TSUEN WAN,荃灣,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/tsuen-wan/mobile12/adjacent-to-sau-shan-house.html,http://www.hkpl.gov.hk/tc/locations/tsuen-wan/mobile12/adjacent-to-sau-shan-house.html,22.37892,114.13155,,826636,831600
114.10657,22.37901,26,KZS6P6HxOE,Libraries,Tsuen King Circuit(Mobile Library 12),"Tsuen King Circuit Playground, N.T.",圖書館,荃景圍(流動圖書館十二),新界荃景圍遊樂場,TSUEN WAN,荃灣,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/tsuen-wan/mobile12/tsuen-king-circuit-playground.html,http://www.hkpl.gov.hk/tc/locations/tsuen-wan/mobile12/tsuen-king-circuit-playground.html,22.37901,114.10657,,826647,829028
114.0592,22.36801,27,4uoeZJT5EC,Libraries,Sham Tseng(Mobile Library 12),"Sham Tseng Market Carpark, Sham Tseng, N.T.",圖書館,深井(流動圖書館十二),新界深井深井街巿停車場,TSUEN WAN,荃灣,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/tsuen-wan/mobile12/sham-tseng-market-carpark.html,http://www.hkpl.gov.hk/tc/locations/tsuen-wan/mobile12/sham-tseng-market-carpark.html,22.36801,114.0592,,825432,824148
114.16578,22.3277,28,xFHoGR1tmx,Libraries,Maple Street(Mobile Library 2),"Adjacent to Maple Street Playground, Maple Street, Sham Shui Po, Kowloon",圖書館,楓樹街(流動圖書館二),九龍深水埗楓樹街(楓樹街遊樂場側),SHAM SHUI PO,深水埗,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/sham-shui-po/mobile2/adjacent-to-maple-street-playground.html,http://www.hkpl.gov.hk/tc/locations/sham-shui-po/mobile2/adjacent-to-maple-street-playground.html,22.3277,114.16578,,820963,835125
114.17011,22.37562,29,pup5tAYKa7,Libraries,Mei Tin Estate(Mobile Library 5),"Adjacent to Mei Lai House, Mei Tin Estate, Sha Tin, N.T.",圖書館,美田邨(流動圖書館五),新界沙田美田邨美麗樓側,SHA TIN,沙田,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/sha-tin/mobile5/adjacent-to-mei-lai-house.html,http://www.hkpl.gov.hk/tc/locations/sha-tin/mobile5/adjacent-to-mei-lai-house.html,22.37562,114.17011,,826270,835571
114.13598,22.37911,30,HI7C8wzeR9,Libraries,Lei Muk Shue Estate(Mobile Library 12),"Adjacent to Chung Shue House, Lei Muk Shue Estate, Tsuen Wan, N.T.",圖書館,梨木樹邨(流動圖書館十二),新界荃灣梨木樹邨松樹樓側,TSUEN WAN,荃灣,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/tsuen-wan/mobile12/adjacent-to-chung-shue-house.html,http://www.hkpl.gov.hk/tc/locations/tsuen-wan/mobile12/adjacent-to-chung-shue-house.html,22.37911,114.13598,,826657,832056
114.19451,22.37537,31,qfOg53AF82,Libraries,Pok Hong Estate(Mobile Library 5),"Adjacent to Pok Hong Community Hall, Shatin, N.T.",圖書館,博康邨(流動圖書館五),新界沙田博康邨社區會堂側,SHA TIN,沙田,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/sha-tin/mobile5/adjacent-to-pok-hong.html,http://www.hkpl.gov.hk/tc/locations/sha-tin/mobile5/adjacent-to-pok-hong.html,22.37537,114.19451,,826242,838084
113.965960000000109,22.39616,32,eaHbLi9v6J,Libraries,Shan King Estate(Mobile Library 3),"Adjacent to King Wing House, Shan King Estate, Tuen Mun, N.T.",圖書館,山景邨(流動圖書館三),新界屯門山景邨景榮樓側,TUEN MUN,屯門,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/tuen-mun/mobile3/king-wing-house-shan-king.html,http://www.hkpl.gov.hk/tc/locations/tuen-mun/mobile3/king-wing-house-shan-king.html,22.39616,113.96596,,828559,814550
114.23012,22.31245,33,6OaVZQzrQp,Libraries,Tsui Ping Estate(Mobile Library 2),"Adjacent to Tsui Ying House, Tsui Ping (South) Estate, Kwun Tong, Kowloon",圖書館,翠屏邨(流動圖書館二),九龍觀塘翠屏(南)邨翠櫻樓側,KWUN TONG,觀塘,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/kwun-tong/mobile2/adjacent-to-tsui-ying-house.html,http://www.hkpl.gov.hk/tc/locations/kwun-tong/mobile2/adjacent-to-tsui-ying-house.html,22.31245,114.23012,,819275,841754
114.22706,22.28098,34,8cpWukkGFr,Libraries,Oi Tung Estate(Mobile Library 9),"Adjacent to Oi Yuk House, Oi Tung Estate, Aldrich Bay",圖書館,愛東邨(流動圖書館九),愛秩序灣愛東邨愛旭樓側,EASTERN,東區,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/eastern/mobile9/adjacent-to-oi-yuk-house-oi.html,http://www.hkpl.gov.hk/tc/locations/eastern/mobile9/adjacent-to-oi-yuk-house-oi.html,22.28098,114.22706,,815791,841440
114.15514,22.32889,35,HxQKWLZk1D,Libraries,Fu Cheong Estate(Mobile Library 12),"Adjacent to Fu Wong House, Fu Cheong Estate, Sham Shui Po, Kowloon",圖書館,富昌邨(流動圖書館十二),九龍深水埗富昌邨富旺樓側,SHAM SHUI PO,深水埗,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/sham-shui-po/mobile12/adjacent-to-fu-wong-house-fu.html,http://www.hkpl.gov.hk/tc/locations/sham-shui-po/mobile12/adjacent-to-fu-wong-house-fu.html,22.32889,114.15514,,821095,834029
114.14556,22.33221,36,KSRbZoy65u,Libraries,Hoi Lai Estate(Mobile Library 10),"Adjacent to Hoi Shun House, Hoi Lai Estate, Sham Shui Po, Kowloon",圖書館,海麗邨(流動圖書館十),九龍深水埗海麗邨海信樓側,SHAM SHUI PO,深水埗,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/sham-shui-po/mobile10/adjacent-to-hoi-shun-house.html,http://www.hkpl.gov.hk/tc/locations/sham-shui-po/mobile10/adjacent-to-hoi-shun-house.html,22.33221,114.14556,,821463,833042
114.250860000000102,22.22936,37,KVGboVDmAC,Libraries,Shek O(Mobile Library 6),"Adjacent to Shek O Beach First Aid Station, Shek O, Hong Kong",圖書館,石澳泳灘(流動圖書館六),香港石澳海灘救護站旁,SOUTHERN,南區,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/southern/mobile6/adjacent-to-first-aid-station.html,http://www.hkpl.gov.hk/tc/locations/southern/mobile6/adjacent-to-first-aid-station.html,22.22936,114.25086,,810075,843896
114.24781,22.32404,38,MhtWEr8s2i,Libraries,Tsui Lam Estate(Mobile Library 6),"Adjacent to Choi Lam House, Tsui Lam Estate, Tseung Kwan O, N.T.",圖書館,翠林邨(流動圖書館六),新界將軍澳翠林邨彩林樓側,SAI KUNG,西貢,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/sai-kung/mobile6/adjacent-to-choi-lam-house.html,http://www.hkpl.gov.hk/tc/locations/sai-kung/mobile6/adjacent-to-choi-lam-house.html,22.32404,114.24781,,820560,843576
114.22164,22.40827,39,XJWroc9yNk,Libraries,Kam Tai Court(Mobile Library 5),"Adjacent to Kam Kei House, Kam Tai Court, Shatin, N.T.",圖書館,錦泰苑(流動圖書館五),新界沙田錦泰苑錦基閣側,SHA TIN,沙田,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/sha-tin/mobile5/adjacent-to-kam-kei-house-kam.html,http://www.hkpl.gov.hk/tc/locations/sha-tin/mobile5/adjacent-to-kam-kei-house-kam.html,22.40827,114.22164,,829886,840877
114.134730000000104,22.49273,40,TogjKJGHFa,Libraries,Ka Fuk Estate(Mobile Library 12),"Adjacent to Fuk Tai House, Ka Fuk Estate, Fanling, N.T.",圖書館,嘉福邨(流動圖書館十二),新界粉嶺嘉福邨福泰樓側,NORTH,北區,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/north/mobile12/adjacent-to-fuk-tai-house-ka.html,http://www.hkpl.gov.hk/tc/locations/north/mobile12/adjacent-to-fuk-tai-house-ka.html,22.49273,114.13473,,839239,831931
114.16789,22.44261,41,sNw99Q6Htd,Libraries,Wan Tau Tong Estate(Mobile Library 11),"Wan Tau Tong Estate Shopping Centre near Wan Lam House entrance, Tai Po, N.T.",圖書館,運頭塘邨(流動圖書館十一),新界大埔運頭塘邨商場近運臨樓出口,TAI PO,大埔,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/tai-po/mobile11/entrance-near-wan-lam-house.html,http://www.hkpl.gov.hk/tc/locations/tai-po/mobile11/entrance-near-wan-lam-house.html,22.44261,114.16789,,833688,835343
